animal_breed,animal_type_id
Аффенпинчер,1
Афганская борзая,1
Эрдельтерьер,1
Акита,1
Аляскинский кли-кай,1
Аляскинский маламут,1
Американский бульдог,1
Американский английский кунхаунд,1
Американская эскимосская собака,1
Американский фоксхаунд,1
Американский голый терьер,1
Американский леопардовый хаунд,1
Американский стаффордширский терьер,1
Американский водяной спаниель,1
Анатолийская овчарка,1
Аппенцеллер зенненхунд,1
Австралийская пастушья собака,1
Австралийский келпи,1
Австралийская овчарка,1
Австралийская короткохвостая пастушья собака,1
Австралийский терьер,1
Азавак,1
Барбаду-да-Терсейра,1
Барбет,1
Басенджи,1
Бассет-фов-де-бретань,1
Бассет-хаунд,1
Баварская горная гончая,1
Бигль,1
Бородатый колли,1
Босерон,1
Бедлингтон-терьер,1
Бельгийская лакенуа,1
Бельгийская малинуа,1
Бельгийская овчарка,1
Бельгийский тервюрен,1
Бергамская овчарка,1
Пикардийская овчарка,1
Бернский зенненхунд,1
Бишон фризе,1
Бивер-терьер,1
Черно-подпалый кунхаунд,1
Черный русский терьер,1
Бладхаунд,1
Голубой пикардийский спаниель,1
Голубой крапчатый кунхаунд,1
Бурбуль,1
Богемская овчарка,1
Болоньез,1
Бордер-колли,1
Бордер-терьер,1
Борзой,1
Бостон-терьер,1
Бувье дез Арден,1
Бувье де Фландр,1
Боксер,1
Бойкин-спаниель,1
Бракко итальяно,1
Брак дю Бурбонне,1
Французский пиренейский бракк,1
Брак Сен-Жермен,1
Бразильский терьер,1
Бриар,1
Бретань,1
Брохольмер,1
Брюссельский гриффон,1
Бультерьер,1
Бульдог,1
Бульмастиф,1
Керн-терьер,1
Калупо,1
Ханаанская собака,1
Канадская эскимосская собака,1
Кане-корсо,1
Вельш-корги кардиган,1
Каролинская собака,1
Леопардовая собака катахулы,1
Кавказская овчарка,1
Кавалер-кинг-чарльз-спаниель,1
Среднеазиатская овчарка,1
Чешский терьер,1
Чесапик-бей-ретривер,1
Чихуахуа,1
Китайская хохлатая собака,1
Китайский шарпей,1
Чинук,1
Чау-чау,1
Чирнеко дель Этна,1
Кламбер-спаниель,1
Кокер-спаниель,1
Колли,1
Котон-де-тулеар,1
Хорватская овчарка,1
Курчавошерстный ретривер,1
Чехословацкий влчак,1
Такса,1
Далматин,1
Денди-динмонт-терьер,1
Датско-шведская фермерская собака,1
Немецкий вахтельхунд,1
Доберман,1
Дого-аргентино,1
Бордоский дог,1
Дрентская куропаточная собака,1
Древер,1
Голландская овчарка,1
